Date,start_time_DI,last_event_DI
2013-07-05,43,54
2013-09-01,32,90
2013-09-03,34,80
2013-09-02,27,73
2013-09-05,25,91
2013-09-04,31,93
2013-09-07,34,137
2013-09-06,29,87
2013-06-30,56,87
2013-07-21,39,41
2013-07-20,30,45
2013-07-23,31,36
2013-07-22,37,45
2013-07-25,75,62
2013-07-24,28,42
2013-07-27,49,59
2013-07-26,78,69
2013-07-29,57,78
2013-07-28,47,60
2013-04-28,118,41
2013-04-29,142,50
2013-04-26,34,6
2013-04-27,117,29
2013-06-01,160,110
2013-06-02,133,108
2013-06-03,140,118
2013-06-04,119,136
2013-06-05,101,166
2013-06-06,171,146
2013-06-07,142,108
2013-06-08,85,95
2013-06-09,94,93
2013-07-14,41,59
2013-07-15,49,56
2013-07-16,41,44
2013-07-17,38,49
2013-07-10,71,63
2013-07-11,45,56
2013-07-12,46,58
2013-07-13,36,41
2013-05-30,99,0
2013-05-31,112,0
2013-07-18,36,48
2013-07-19,45,53
2013-04-30,96,36
2013-06-17,100,145
2013-06-16,79,60
2013-07-09,48,62
2013-07-08,59,55
2013-06-13,107,92
2013-06-12,80,75
2013-06-11,68,66
2013-06-10,87,82
2013-07-03,59,60
2013-07-02,59,62
2013-07-01,62,93
2013-07-07,41,60
2013-07-06,32,50
2013-06-19,97,95
2013-06-18,104,122
2013-05-29,111,0
2013-05-28,105,1
2013-05-27,96,1
2013-05-26,70,0
2013-05-25,73,0
2013-05-24,81,0
2013-05-23,111,1
2013-05-22,135,0
2013-05-21,144,16
2013-05-20,113,33
2013-08-08,40,48
2013-08-09,17,39
2013-08-06,28,44
2013-08-07,35,47
2013-08-04,30,51
2013-08-05,27,41
2013-08-02,24,29
2013-08-03,28,47
2013-08-01,39,58
2013-08-19,20,47
2013-08-18,25,54
2013-08-15,21,40
2013-08-14,19,35
2013-08-17,26,41
2013-08-16,30,50
2013-08-11,17,43
2013-08-10,16,46
2013-08-13,31,60
2013-08-12,34,36
2013-06-15,74,54
2013-07-04,57,52
2013-08-20,34,77
2013-08-21,41,125
2013-08-22,33,108
2013-08-23,25,63
2013-08-24,35,72
2013-08-25,30,88
2013-08-26,28,115
2013-08-27,23,106
2013-08-28,41,87
2013-08-29,55,88
2013-05-16,96,38
2013-05-17,99,36
2013-05-14,96,30
2013-05-15,130,49
2013-05-12,79,23
2013-05-13,95,36
2013-05-10,87,27
2013-05-11,95,35
2013-05-18,73,27
2013-05-19,71,33
2013-08-31,40,96
2013-08-30,46,97
2013-05-05,125,44
2013-05-04,196,70
2013-05-07,107,32
2013-05-06,114,49
2013-05-01,188,49
2013-05-03,275,79
2013-05-02,155,46
2013-05-09,110,31
2013-05-08,91,31
2013-06-14,53,66
2013-06-28,38,60
2013-06-29,62,96
2013-06-26,71,85
2013-06-27,51,68
2013-06-24,84,151
2013-06-25,74,147
2013-06-22,87,93
2013-06-23,74,144
2013-06-20,69,78
2013-06-21,79,84
2013-07-30,76,77
2013-07-31,52,62
