colNum,rowNum,totalStudents,nplay_video_ave,grade_ave,nforum_posts_ave,nevents_ave,nchapters_ave,ndays_act_ave
3,0,2,47.0,11.0,3.0,880.0,4.0,8.0
0,14,1,1016.0,96.0,0.0,6721.0,16.0,77.0
0,7,1,513.0,28.000000000000004,0.0,5187.0,13.0,72.0
1,6,2,464.0,95.0,1.0,4369.0,14.0,51.0
3,7,1,572.0,4.0,3.0,2021.0,16.0,16.0
0,3,6,267.0,55.00000000000001,0.0,4257.0,14.0,39.0
1,2,1,215.0,11.0,1.0,1983.0,5.0,14.0
0,15,1,1099.0,78.0,0.0,3993.0,10.0,35.0
0,17,1,1297.0,55.00000000000001,0.0,8976.0,16.0,73.0
0,4,4,355.0,1.0,0.0,1335.0,6.0,30.0
0,29,1,2174.0,0,0.0,7865.0,12.0,55.0
1,1,2,99.0,1.0,1.0,754.0,2.0,5.0
1,24,1,1785.0,90.0,1.0,11886.0,16.0,83.0
0,0,186,29.0,0.0,0.0,206.0,4.0,10.0
0,12,4,922.0,13.0,0.0,3195.0,9.0,38.0
0,5,1,365.0,80.0,0.0,2117.0,9.0,68.0
2,1,2,80.0,4.0,2.0,464.0,3.0,5.0
1,0,4,61.0,4.0,1.0,478.0,3.0,9.0
0,8,1,604.0,80.0,0.0,3178.0,9.0,44.0
0,1,17,122.0,32.0,0.0,2060.0,11.0,20.0
0,13,1,1008.0,38.0,0.0,4768.0,11.0,55.0
0,6,1,446.0,18.0,0.0,2030.0,8.0,28.0
0,2,9,169.0,9.0,0.0,950.0,3.0,10.0
0,9,0,0,0,0,0,0,0
0,10,0,0,0,0,0,0,0
0,11,0,0,0,0,0,0,0
0,16,0,0,0,0,0,0,0
0,18,0,0,0,0,0,0,0
0,19,0,0,0,0,0,0,0
0,20,0,0,0,0,0,0,0
0,21,0,0,0,0,0,0,0
0,22,0,0,0,0,0,0,0
0,23,0,0,0,0,0,0,0
0,24,0,0,0,0,0,0,0
0,25,0,0,0,0,0,0,0
0,26,0,0,0,0,0,0,0
0,27,0,0,0,0,0,0,0
0,28,0,0,0,0,0,0,0
1,3,0,0,0,0,0,0,0
1,4,0,0,0,0,0,0,0
1,5,0,0,0,0,0,0,0
1,7,0,0,0,0,0,0,0
1,8,0,0,0,0,0,0,0
1,9,0,0,0,0,0,0,0
1,10,0,0,0,0,0,0,0
1,11,0,0,0,0,0,0,0
1,12,0,0,0,0,0,0,0
1,13,0,0,0,0,0,0,0
1,14,0,0,0,0,0,0,0
1,15,0,0,0,0,0,0,0
1,16,0,0,0,0,0,0,0
1,17,0,0,0,0,0,0,0
1,18,0,0,0,0,0,0,0
1,19,0,0,0,0,0,0,0
1,20,0,0,0,0,0,0,0
1,21,0,0,0,0,0,0,0
1,22,0,0,0,0,0,0,0
1,23,0,0,0,0,0,0,0
1,25,0,0,0,0,0,0,0
1,26,0,0,0,0,0,0,0
1,27,0,0,0,0,0,0,0
1,28,0,0,0,0,0,0,0
1,29,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0
2,3,0,0,0,0,0,0,0
2,4,0,0,0,0,0,0,0
2,5,0,0,0,0,0,0,0
2,6,0,0,0,0,0,0,0
2,7,0,0,0,0,0,0,0
2,8,0,0,0,0,0,0,0
2,9,0,0,0,0,0,0,0
2,10,0,0,0,0,0,0,0
2,11,0,0,0,0,0,0,0
2,12,0,0,0,0,0,0,0
2,13,0,0,0,0,0,0,0
2,14,0,0,0,0,0,0,0
2,15,0,0,0,0,0,0,0
2,16,0,0,0,0,0,0,0
2,17,0,0,0,0,0,0,0
2,18,0,0,0,0,0,0,0
2,19,0,0,0,0,0,0,0
2,20,0,0,0,0,0,0,0
2,21,0,0,0,0,0,0,0
2,22,0,0,0,0,0,0,0
2,23,0,0,0,0,0,0,0
2,24,0,0,0,0,0,0,0
2,25,0,0,0,0,0,0,0
2,26,0,0,0,0,0,0,0
2,27,0,0,0,0,0,0,0
2,28,0,0,0,0,0,0,0
2,29,0,0,0,0,0,0,0
3,1,0,0,0,0,0,0,0
3,2,0,0,0,0,0,0,0
3,3,0,0,0,0,0,0,0
3,4,0,0,0,0,0,0,0
3,5,0,0,0,0,0,0,0
3,6,0,0,0,0,0,0,0
3,8,0,0,0,0,0,0,0
3,9,0,0,0,0,0,0,0
3,10,0,0,0,0,0,0,0
3,11,0,0,0,0,0,0,0
3,12,0,0,0,0,0,0,0
3,13,0,0,0,0,0,0,0
3,14,0,0,0,0,0,0,0
3,15,0,0,0,0,0,0,0
3,16,0,0,0,0,0,0,0
3,17,0,0,0,0,0,0,0
3,18,0,0,0,0,0,0,0
3,19,0,0,0,0,0,0,0
3,20,0,0,0,0,0,0,0
3,21,0,0,0,0,0,0,0
3,22,0,0,0,0,0,0,0
3,23,0,0,0,0,0,0,0
3,24,0,0,0,0,0,0,0
3,25,0,0,0,0,0,0,0
3,26,0,0,0,0,0,0,0
3,27,0,0,0,0,0,0,0
3,28,0,0,0,0,0,0,0
3,29,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
4,1,0,0,0,0,0,0,0
4,2,0,0,0,0,0,0,0
4,3,0,0,0,0,0,0,0
4,4,0,0,0,0,0,0,0
4,5,0,0,0,0,0,0,0
4,6,0,0,0,0,0,0,0
4,7,0,0,0,0,0,0,0
4,8,0,0,0,0,0,0,0
4,9,0,0,0,0,0,0,0
4,10,0,0,0,0,0,0,0
4,11,0,0,0,0,0,0,0
4,12,0,0,0,0,0,0,0
4,13,0,0,0,0,0,0,0
4,14,0,0,0,0,0,0,0
4,15,0,0,0,0,0,0,0
4,16,0,0,0,0,0,0,0
4,17,0,0,0,0,0,0,0
4,18,0,0,0,0,0,0,0
4,19,0,0,0,0,0,0,0
4,20,0,0,0,0,0,0,0
4,21,0,0,0,0,0,0,0
4,22,0,0,0,0,0,0,0
4,23,0,0,0,0,0,0,0
4,24,0,0,0,0,0,0,0
4,25,0,0,0,0,0,0,0
4,26,0,0,0,0,0,0,0
4,27,0,0,0,0,0,0,0
4,28,0,0,0,0,0,0,0
4,29,0,0,0,0,0,0,0
